,gene_type,Unkonwn-180-T01.bam,Unkonwn-180-T02.bam,Unkonwn-180-T03.bam,Unkonwn-180-T04.bam,Unkonwn-180-T05.bam,Unkonwn-180-T06.bam,Unkonwn-180-T07.bam,Unkonwn-180-T08.bam,Unkonwn-180-T09.bam,Unkonwn-180-T11.bam,Unkonwn-180-T12.bam,Unkonwn-180-T13.bam,Unkonwn-180-T14.bam,Unkonwn-180-T15.bam,Unkonwn-180-T17.bam,Unkonwn-180-T18.bam,Unkonwn-180-T19.bam,Unkonwn-180-T20.bam,Unkonwn-180-T21.bam,Unkonwn-180-T23.bam,Unkonwn-180-T24.bam,Unkonwn-180-T25.bam,Unkonwn-180-T26.bam,Unkonwn-180-T27.bam,Unkonwn-180-T28.bam,Unkonwn-180-T29.bam,Unkonwn-180-T30.bam,Unkonwn-180-T31.bam,Unkonwn-180-T33.bam,Unkonwn-180-T34.bam,Unkonwn-180-T35.bam,Unkonwn-180-T36.bam,Unkonwn-180-T37.bam,Unkonwn-180-T39.bam,Unkonwn-180-T40.bam,Unkonwn-180-T41.bam,Unkonwn-180-T42.bam,Unkonwn-180-T45.bam,Unkonwn-180-T46.bam,Unkonwn-180-T47.bam,Unkonwn-180-T48.bam,merge_Sample_Pan_C-E2_mapping.bam,merge_Sample_Pan_C-E1_mapping.bam,merge_Sample_Pan_C-D4_mapping.bam,merge_Sample_Pan_C-D3_mapping.bam,merge_Sample_Pan_C-G12_mapping.bam,merge_Sample_Pan_C-F9_mapping.bam,merge_Sample_Pan_C-F5_mapping.bam,merge_Sample_Pan_C-F10_mapping.bam,merge_Sample_Pan_C-E6_mapping.bam,merge_Sample_Pan_C-C3_mapping.bam,merge_Sample_Pan_C-G8_mapping.bam,merge_Sample_Pan_C-G7_mapping.bam,merge_Sample_Pan_C-B9_mapping.bam,merge_Sample_Pan_C-H4_mapping.bam,merge_Sample_Pan_C-H3_mapping.bam,merge_Sample_Pan_C-B1_mapping.bam,merge_Sample_Pan_C-A6_mapping.bam,merge_Sample_Pan_C-A5_mapping.bam,merge_Sample_Pan_C-A2_mapping.bam,merge_Sample_Pan_C-A10_mapping.bam,merge_Sample_Pan_C-D8_mapping.bam,merge_Sample_Pan_C-H8_mapping.bam,merge_Sample_Pan_C-H7_mapping.bam,merge_Sample_Pan_C-H12_mapping.bam,merge_Sample_Pan_C-H11_mapping.bam,merge_Sample_Pan_C-G4_mapping.bam,merge_Sample_Pan_C-G3_mapping.bam,merge_Sample_Pan_C-G11_mapping.bam,merge_Sample_Pan_C-F6_mapping.bam,merge_Sample_Pan_C-F2_mapping.bam,merge_Sample_Pan_C-F1_mapping.bam,merge_Sample_Pan_C-E9_mapping.bam,merge_Sample_Pan_C-E5_mapping.bam,merge_Sample_Pan_C-E10_mapping.bam,merge_Sample_Pan_C-A9_mapping.bam,merge_Sample_Pan_C-B10_mapping.bam,merge_Sample_Pan_C-B2_mapping.bam,merge_Sample_Pan_C-B5_mapping.bam,merge_Sample_Pan_C-B6_mapping.bam,merge_Sample_Pan_C-C11_mapping.bam,merge_Sample_Pan_C-C12_mapping.bam,merge_Sample_Pan_C-C4_mapping.bam,merge_Sample_Pan_C-C7_mapping.bam,merge_Sample_Pan_C-C8_mapping.bam,merge_Sample_Pan_C-D11_mapping.bam,merge_Sample_Pan_C-D12_mapping.bam,merge_Sample_Pan_C-D7_mapping.bam,merge_Sample_Pan_C-E11_mapping.bam,merge_Sample_Pan_C-E8_mapping.bam,merge_Sample_Pan_C-D2_mapping.bam,merge_Sample_Pan_C-G5_mapping.bam,merge_Sample_Pan_C-F7_mapping.bam,merge_Sample_Pan_C-F3_mapping.bam,merge_Sample_Pan_C-C5_mapping.bam,merge_Sample_Pan_C-C2_mapping.bam,merge_Sample_Pan_C-G6_mapping.bam,merge_Sample_Pan_C-C1_mapping.bam,merge_Sample_Pan_C-G9_mapping.bam,merge_Sample_Pan_C-B7_mapping.bam,merge_Sample_Pan_C-B3_mapping.bam,merge_Sample_Pan_C-B11_mapping.bam,merge_Sample_Pan_C-A8_mapping.bam,merge_Sample_Pan_C-A4_mapping.bam,merge_Sample_Pan_C-G1_mapping.bam,merge_Sample_Pan_C-H6_mapping.bam,merge_Sample_Pan_C-H5_mapping.bam,merge_Sample_Pan_C-H10_mapping.bam,merge_Sample_Pan_C-H1_mapping.bam,merge_Sample_Pan_C-G2_mapping.bam,merge_Sample_Pan_C-G10_mapping.bam,merge_Sample_Pan_C-F12_mapping.bam,merge_Sample_Pan_C-F11_mapping.bam,merge_Sample_Pan_C-E7_mapping.bam,merge_Sample_Pan_C-E4_mapping.bam,merge_Sample_Pan_C-E3_mapping.bam,merge_Sample_Pan_C-E12_mapping.bam,merge_Sample_Pan_C-D9_mapping.bam,merge_Sample_Pan_C-D6_mapping.bam,merge_Sample_Pan_C-H9_mapping.bam,merge_Sample_Pan_C-F8_mapping.bam,merge_Sample_Pan_C-A11_mapping.bam,merge_Sample_Pan_C-A12_mapping.bam,merge_Sample_Pan_C-A3_mapping.bam,merge_Sample_Pan_C-A7_mapping.bam,merge_Sample_Pan_C-B12_mapping.bam,merge_Sample_Pan_C-B4_mapping.bam,merge_Sample_Pan_C-B8_mapping.bam,merge_Sample_Pan_C-C6_mapping.bam,merge_Sample_Pan_C-C9_mapping.bam,merge_Sample_Pan_C-D1_mapping.bam,merge_Sample_Pan_C-D10_mapping.bam,merge_Sample_Pan_C-D5_mapping.bam,Sample_Pan_B-C01_mapping.bam,Sample_Pan_B-C02_mapping.bam,Sample_Pan_B-C03_mapping.bam,Sample_Pan_B-C04_mapping.bam,Sample_Pan_B-C05_mapping.bam,Sample_Pan_B-C06_mapping.bam,Sample_Pan_B-C07_mapping.bam,Sample_Pan_B-C09_mapping.bam,Sample_Pan_B-C10_mapping.bam,Sample_Pan_B-C11_mapping.bam,Sample_Pan_B-C12_mapping.bam,Sample_Pan_B-C14_mapping.bam,Sample_Pan_B-C15_mapping.bam,Sample_Pan_B-C16_mapping.bam,Sample_Pan_B-C17_mapping.bam,Sample_Pan_B-C18_mapping.bam,Sample_Pan_B-C19_mapping.bam,Sample_Pan_B-C20_mapping.bam,Sample_Pan_B-C21_mapping.bam,Sample_Pan_B-C22_mapping.bam,Sample_Pan_B-C23_mapping.bam,Sample_Pan_B-C24_mapping.bam,Sample_Pan_B-C25_mapping.bam,Sample_Pan_B-C26_mapping.bam,Sample_Pan_B-C27_mapping.bam,Sample_Pan_B-C28_mapping.bam,Sample_Pan_B-C29_mapping.bam,Sample_Pan_B-C30_mapping.bam,Sample_Pan_B-C31_mapping.bam,Sample_Pan_B-C32_mapping.bam,Sample_Pan_B-C33_mapping.bam,Sample_Pan_B-C34_mapping.bam,Sample_Pan_B-C35_mapping.bam,Sample_Pan_B-C36_mapping.bam,Sample_Pan_B-C37_mapping.bam,Sample_Pan_B-C38_mapping.bam,Sample_Pan_B-C39_mapping.bam,Sample_Pan_B-C40_mapping.bam,Sample_Pan_B-C41_mapping.bam,Sample_Pan_B-C42_mapping.bam,Sample_Pan_B-C43_mapping.bam,Sample_Pan_B-C44_mapping.bam,Sample_Pan_B-C45_mapping.bam,Sample_Pan_B-C46_mapping.bam,Sample_Pan_B-C47_mapping.bam,Sample_Pan_B-C48_mapping.bam,Sample_Pan_B-C49_mapping.bam,Sample_Pan_B-C50_mapping.bam,Sample_Pan_B-C51_mapping.bam,Sample_Pan_B-C52_mapping.bam,Sample_Pan_B-C53_mapping.bam,Sample_Pan_B-C54_mapping.bam,Sample_Pan_B-C55_mapping.bam,Sample_Pan_B-C56_mapping.bam,Sample_Pan_B-C57_mapping.bam,Sample_Pan_B-C58_mapping.bam,Sample_Pan_B-C59_mapping.bam,Sample_Pan_B-C60_mapping.bam,Sample_Pan_B-C61_mapping.bam,Sample_Pan_B-C62_mapping.bam,Sample_Pan_B-C63_mapping.bam,Sample_Pan_B-C64_mapping.bam,Sample_Pan_B-C65_mapping.bam,Sample_Pan_B-C67_mapping.bam,Sample_Pan_B-C68_mapping.bam,Sample_Pan_B-C69_mapping.bam,Sample_Pan_B-C70_mapping.bam,Sample_Pan_B-C71_mapping.bam,Sample_Pan_B-C73_mapping.bam,Sample_Pan_B-C74_mapping.bam,Sample_Pan_B-C75_mapping.bam,Sample_Pan_B-C76_mapping.bam,Sample_Pan_B-C77_mapping.bam,Sample_Pan_B-C78_mapping.bam,Sample_Pan_B-C79_mapping.bam,Sample_Pan_B-C80_mapping.bam,Sample_Pan_B-C81_mapping.bam,Sample_Pan_B-C82_mapping.bam,Sample_Pan_B-C83_mapping.bam,Sample_Pan_B-C84_mapping.bam,Sample_Pan_B-C85_mapping.bam,Sample_Pan_B-C86_mapping.bam,Sample_Pan_B-C87_mapping.bam,Sample_Pan_B-C88_mapping.bam,Sample_Pan_B-C89_mapping.bam,Sample_Pan_B-C90_mapping.bam,Sample_Pan_B-C91_mapping.bam,Sample_Pan_B-C92_mapping.bam,Sample_Pan_B-C93_mapping.bam
0,IG_C_gene,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0000%,0.0015%,0.0000%,0.0000%,0.0011%,0.0008%,0.0000%,0.0005%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0016%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0006%,0.0007%,0.0000%,0.0012%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0011%,0.0000%,0.0000%,0.0007%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%
1,IG_V_gene,0.0005%,0.0003%,0.0011%,0.0006%,0.0003%,0.0002%,0.0000%,0.0012%,0.0014%,0.0012%,0.0002%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0009%,0.0007%,0.0000%,0.0001%,0.0000%,0.0017%,0.0010%,0.0001%,0.0001%,0.0000%,0.0002%,0.0001%,0.0000%,0.0006%,0.0008%,0.0000%,0.0000%,0.0010%,0.0000%,0.0000%,0.0000%,0.0003%,0.0002%,0.0017%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0001%,0.0000%,0.0002%,0.0000%,0.0008%,0.0000%,0.0008%,0.0000%,0.0000%,0.0011%,0.0005%,0.0002%,0.0010%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0000%,0.0021%,0.0000%,0.0009%,0.0002%,0.0018%,0.0000%,0.0000%,0.0007%,0.0006%,0.0012%,0.0004%,0.0012%,0.0000%,0.0000%,0.0029%,0.0000%,0.0021%,0.0000%,0.0000%,0.0011%,0.0000%,0.0000%,0.0006%,0.0002%,0.0000%,0.0008%,0.0000%,0.0011%,0.0000%,0.0012%,0.0002%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0005%,0.0014%,0.0017%,0.0000%,0.0000%,0.0002%,0.0000%,0.0006%,0.0000%,0.0000%,0.0000%,0.0000%,0.0006%,0.0000%,0.0000%,0.0002%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0005%,0.0000%,0.0007%,0.0015%,0.0003%,0.0000%,0.0000%,0.0008%,0.0009%,0.0000%,0.0000%,0.0017%,0.0013%,0.0002%,0.0004%,0.0000%,0.0004%,0.0007%,0.0009%,0.0000%,0.0000%,0.0005%,0.0000%,0.0009%,0.0000%,0.0000%,0.0000%,0.0000%,0.0012%,0.0011%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0002%,0.0014%,0.0009%,0.0000%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0010%,0.0000%,0.0003%,0.0001%,0.0000%,0.0000%,0.0019%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0018%,0.0000%,0.0002%,0.0005%,0.0005%,0.0000%,0.0004%,0.0000%,0.0016%,0.0000%,0.0000%,0.0000%,0.0005%,0.0000%,0.0000%,0.0016%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0010%,0.0000%,0.0000%,0.0000%,0.0000%,0.0006%,0.0008%,0.0018%
2,Mt_rRNA,4.3647%,3.7879%,4.3159%,3.9968%,4.5860%,4.2303%,3.5865%,4.2923%,4.8665%,4.6532%,4.6684%,4.4038%,4.3041%,3.7262%,5.3715%,4.7818%,4.5742%,4.6924%,5.0283%,3.9866%,4.1490%,4.9505%,3.6483%,4.1376%,3.8637%,3.7493%,5.2810%,4.5270%,3.6569%,4.7429%,3.7543%,1.8126%,4.4319%,4.3050%,3.3186%,3.3027%,4.2938%,4.2838%,4.7288%,4.5488%,3.2014%,8.6964%,7.6945%,11.6630%,7.9301%,7.4858%,5.0886%,9.4462%,7.0750%,8.6348%,12.0119%,11.7803%,8.0928%,8.5518%,8.6494%,11.5677%,9.6497%,6.5822%,6.1466%,9.6494%,8.7657%,6.1260%,7.1440%,6.1632%,30.6854%,3.7218%,7.3622%,15.2038%,7.6355%,7.4704%,5.8205%,4.0144%,7.1993%,9.7367%,6.5144%,5.8093%,11.6492%,8.9036%,11.2512%,13.4241%,10.6959%,7.9726%,7.0895%,9.6861%,6.4762%,7.3654%,5.7514%,7.8535%,8.4310%,3.6455%,7.9615%,7.3669%,6.6078%,3.9312%,11.2586%,9.6981%,9.8439%,10.2437%,8.4450%,7.1390%,6.6053%,10.6337%,9.4245%,8.0389%,12.9040%,9.8888%,5.9893%,9.9613%,8.8742%,5.5449%,9.1632%,5.8511%,6.8907%,9.3502%,8.5972%,11.2896%,5.6041%,14.2683%,1.5608%,5.4467%,7.4455%,7.3902%,9.9198%,7.1958%,6.3339%,7.9077%,8.7858%,10.8378%,7.6237%,9.6576%,7.7164%,7.3801%,7.3567%,7.8487%,6.9557%,5.7267%,8.7060%,6.1791%,8.9639%,10.7487%,8.2020%,7.3439%,4.2505%,7.9117%,5.2176%,8.0123%,6.8326%,10.6939%,6.5404%,7.3840%,5.2514%,7.1868%,4.3510%,6.8064%,3.6791%,6.1319%,6.2427%,7.5851%,8.0625%,7.1530%,7.5716%,4.6545%,6.0166%,7.1054%,4.4659%,8.0965%,8.0478%,7.2597%,6.2513%,7.1794%,6.4905%,6.7287%,4.9688%,4.8818%,5.1843%,4.1993%,6.5937%,7.7973%,4.4487%,4.6399%,7.4651%,8.0689%,6.2249%,2.3206%,6.9122%,7.8688%,7.8532%,6.5870%,6.8665%,4.6295%,4.7462%,6.3212%,6.2570%,6.3755%,7.5924%,5.3481%,4.9766%,6.9629%,3.9774%,3.8950%,4.6907%,6.1568%,6.7774%,2.2391%,6.5126%,7.6624%,6.5054%,5.7861%,4.0557%,9.0882%,4.6736%,12.3927%,5.6862%,10.0687%,7.3222%,6.6707%,6.3130%,4.9895%,8.8568%,7.7049%,7.5996%,7.7131%
3,Mt_tRNA,0.0211%,0.0168%,0.0174%,0.0240%,0.0234%,0.0234%,0.0232%,0.0189%,0.0245%,0.0134%,0.0175%,0.0223%,0.0245%,0.0146%,0.0207%,0.0238%,0.0169%,0.0177%,0.0238%,0.0130%,0.0197%,0.0216%,0.0134%,0.0217%,0.0166%,0.0172%,0.0202%,0.0184%,0.0190%,0.0182%,0.0130%,0.0237%,0.0189%,0.0230%,0.0130%,0.0124%,0.0241%,0.0193%,0.0299%,0.0241%,0.0130%,0.0050%,0.0094%,0.0130%,0.0077%,0.0085%,0.0059%,0.0100%,0.0074%,0.0079%,0.0068%,0.0075%,0.0099%,0.0070%,0.0060%,0.0079%,0.0083%,0.0056%,0.0082%,0.0115%,0.0110%,0.0078%,0.0061%,0.0053%,0.0000%,0.0098%,0.0183%,0.0156%,0.0051%,0.0069%,0.0103%,0.0184%,0.0066%,0.0072%,0.0088%,0.0065%,0.0104%,0.0089%,0.0050%,0.0075%,0.0076%,0.0066%,0.0135%,0.0011%,0.0079%,0.0055%,0.0083%,0.0058%,0.0064%,0.0022%,0.0034%,0.0067%,0.0085%,0.0199%,0.0077%,0.0107%,0.0101%,0.0099%,0.0058%,0.0098%,0.0064%,0.0098%,0.0092%,0.0095%,0.0055%,0.0095%,0.0078%,0.0102%,0.0089%,0.0043%,0.0091%,0.0093%,0.0061%,0.0088%,0.0061%,0.0000%,0.0053%,0.0028%,0.0030%,0.0030%,0.0077%,0.0107%,0.0077%,0.0078%,0.0070%,0.0104%,0.0111%,0.0107%,0.0056%,0.0063%,0.0066%,0.0073%,0.0037%,0.0058%,0.0106%,0.0034%,0.0073%,0.0085%,0.0105%,0.0124%,0.0078%,0.0088%,0.0036%,0.0059%,0.0043%,0.0068%,0.0056%,0.0092%,0.0041%,0.0071%,0.0034%,0.0050%,0.0042%,0.0061%,0.0057%,0.0016%,0.0067%,0.0049%,0.0048%,0.0042%,0.0042%,0.0019%,0.0080%,0.0066%,0.0060%,0.0097%,0.0078%,0.0044%,0.0042%,0.0055%,0.0040%,0.0047%,0.0092%,0.0039%,0.0032%,0.0056%,0.0084%,0.0095%,0.0078%,0.0059%,0.0050%,0.0087%,0.0048%,0.0000%,0.0071%,0.0093%,0.0071%,0.0066%,0.0124%,0.0070%,0.0099%,0.0059%,0.0065%,0.0082%,0.0111%,0.0011%,0.0099%,0.0045%,0.0099%,0.0029%,0.0046%,0.0054%,0.0102%,0.0031%,0.0057%,0.0041%,0.0049%,0.0084%,0.0055%,0.0099%,0.0047%,0.0059%,0.0015%,0.0055%,0.0031%,0.0073%,0.0041%,0.0028%,0.0039%,0.0074%,0.0050%,0.0098%
4,TEC,0.0256%,0.0310%,0.0337%,0.0154%,0.0410%,0.0459%,0.0249%,0.0181%,0.0206%,0.0571%,0.0230%,0.0231%,0.0394%,0.0269%,0.0356%,0.0272%,0.0326%,0.0248%,0.0174%,0.0271%,0.0370%,0.0487%,0.0271%,0.0253%,0.0140%,0.0259%,0.0248%,0.0247%,0.0200%,0.0254%,0.0275%,0.0239%,0.0177%,0.0487%,0.0243%,0.0370%,0.0218%,0.0237%,0.0250%,0.0241%,0.0349%,0.0377%,0.1170%,0.0582%,0.1575%,0.0629%,0.0247%,0.0283%,0.0666%,0.0665%,0.0235%,0.0510%,0.0766%,0.0244%,0.0359%,0.0367%,0.0322%,0.0713%,0.0342%,0.0407%,0.0387%,0.0423%,0.0383%,0.1069%,1.1901%,0.0738%,0.0323%,0.0672%,0.0448%,0.0696%,0.0368%,0.0368%,0.0678%,0.0424%,0.0851%,0.1429%,0.0418%,0.0979%,0.0243%,0.0526%,0.0459%,0.1864%,0.0347%,0.2897%,0.0475%,0.0518%,0.1088%,0.0520%,0.0613%,0.0885%,0.0316%,0.0629%,0.0500%,0.0748%,0.0495%,0.0582%,0.0512%,0.0334%,0.0463%,0.0530%,0.0368%,0.0373%,0.1114%,0.0308%,0.1701%,0.0340%,0.0290%,0.0593%,0.0401%,0.0354%,0.0442%,0.0319%,0.0573%,0.0641%,0.0355%,0.6260%,0.1073%,0.2846%,0.0407%,0.0293%,0.0422%,0.0516%,0.0468%,0.0927%,0.0353%,0.0501%,0.0568%,0.0281%,0.0396%,0.0279%,0.0198%,0.0446%,0.1000%,0.0542%,0.0377%,0.0329%,0.0684%,0.0362%,0.0676%,0.0549%,0.0687%,0.0328%,0.0368%,0.0301%,0.0520%,0.0428%,0.0276%,0.0387%,0.0601%,0.0281%,0.0358%,0.0375%,0.0378%,0.0580%,0.0403%,0.0291%,0.0368%,0.0584%,0.0696%,0.0663%,0.0315%,0.0324%,0.0470%,0.0770%,0.0453%,0.0532%,0.0361%,0.0359%,0.0278%,0.0428%,0.0367%,0.0291%,0.0792%,0.0336%,0.0300%,0.0359%,0.0291%,0.0544%,0.0257%,0.0743%,0.0481%,0.0985%,0.1001%,0.0270%,0.0510%,0.0213%,0.0504%,0.0411%,0.0281%,0.0464%,0.0617%,0.0301%,0.0294%,0.0613%,0.0337%,0.0167%,0.0457%,0.0392%,0.0654%,0.0519%,0.1370%,0.0406%,0.0445%,0.0405%,0.0503%,0.0439%,0.0567%,0.0378%,0.0445%,0.0354%,0.0466%,0.0692%,0.0439%,0.0322%,0.0447%,0.0631%,0.0377%,0.0490%,0.0756%,0.0330%,0.0646%,0.0459%
5,TR_V_gene,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0009%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0005%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0014%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0002%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0003%,0.0008%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0009%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0039%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0014%,0.0000%,0.0004%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0008%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0011%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0010%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%
6,TR_V_pseudogene,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0000%,0.0001%,0.0000%,0.0001%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0004%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%,0.0000%,0.0001%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0001%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0004%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0004%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0002%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0003%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0002%,0.0000%
